Month,Mean price,District
May 2023,163.3097949886105,Salamanca
May 2023,146.693218833284,Centro
May 2023,129.66086956521738,Retiro
May 2023,126.42105263157896,Moncloa - Aravaca
May 2023,120.17061611374407,Carabanchel
May 2023,118.44510385756676,Chamberí
May 2023,117.07142857142856,Chamartín
May 2023,111.38931297709924,Hortaleza
May 2023,106.10843373493977,Arganzuela
May 2023,102.12852664576802,Tetuán
May 2023,88.54054054054055,Fuencarral - El Pardo
May 2023,78.16822429906541,San Blas - Canillejas
May 2023,73.29166666666667,Villa de Vallecas
May 2023,72.95854922279793,Ciudad Lineal
May 2023,69.89949748743719,Puente de Vallecas
May 2023,65.64102564102564,Barajas
May 2023,63.795918367346935,Usera
May 2023,63.25714285714286,Moratalaz
May 2023,63.131736526946106,Latina
May 2023,46.79166666666666,Villaverde
May 2023,31.1,Vicálvaro
