Month,Airbnb reviews,District
May 2023,154,Chamartín
May 2023,35,Moratalaz
May 2023,24,Villa de Vallecas
May 2023,199,Puente de Vallecas
May 2023,147,Usera
May 2023,39,Barajas
May 2023,319,Tetuán
May 2023,131,Hortaleza
May 2023,48,Villaverde
May 2023,74,Fuencarral - El Pardo
May 2023,10,Vicálvaro
May 2023,230,Retiro
May 2023,107,San Blas - Canillejas
May 2023,439,Salamanca
May 2023,193,Ciudad Lineal
May 2023,3377,Centro
May 2023,152,Moncloa - Aravaca
May 2023,332,Arganzuela
May 2023,167,Latina
May 2023,211,Carabanchel
May 2023,337,Chamberí
June 2023,21,Moratalaz
June 2023,75,Chamartín
June 2023,22,Villa de Vallecas
June 2023,100,Puente de Vallecas
June 2023,109,Latina
June 2023,64,Usera
June 2023,38,Barajas
June 2023,164,Chamberí
June 2023,204,Salamanca
June 2023,70,Moncloa - Aravaca
June 2023,84,Hortaleza
June 2023,2126,Centro
June 2023,37,Villaverde
June 2023,44,Fuencarral - El Pardo
June 2023,121,Carabanchel
June 2023,125,Ciudad Lineal
June 2023,148,Retiro
June 2023,224,Arganzuela
June 2023,79,San Blas - Canillejas
June 2023,172,Tetuán
June 2023,13,Vicálvaro
